KEY,zh-CN
,
,
({0}h),( {0} H )
campaign,战役
(bkt_allyunit-damaged)analliedunitistakingdamage!,(Bkt_AllyUnit-Damaged)一个友军单位正受到攻击!
(bkt_allyunit-destroyed)alliedunitdown^commander*,(Bkt_AllyUnit-Destroyed)友军倒下了 指挥官.
(minimumscore:760^000)yourskillsarethestuffoflegend^andyouarepeerlessandunmatchedonthebattlefield*yournameisknownacrosstheinnersphere*,(Minimum Score: 760000)你已经是一位传奇人物 在战场上无可匹敌 你的大名传遍整个内天体.
(minimumscore:640^000)yourreputationprecedesyouwhereveryougo^andopponentshavebeenknowntoquitthefieldratherthanfaceyou*,(Minimum Score: 640000)你声名远扬 在战场上你的敌人都望风而逃.
(minimumscore:480^000)youreoneofthebestmercenarycommandersaround^andemployerscompetewitheachothertohireyou*,(Minimum Score: 480000)你已经成为顶级佣兵指挥官的一员 雇主们争相雇佣你.
(minimumscore:320^000)youreawell-known^capablemercenary^trustedbymostofthemajorstatesoftheinnersphereandperiphery*,(Minimum Score: 320000)你是个有才干的知名佣兵 内天体和外围的多数大国都信任你的实力.
(minimumscore:160^000)youreacompetentmercenarycaptainwithmanycontractsunderyourbelt*,(Minimum Score: 160000)你已经有了许多合约的经验 是个称职的佣兵队长.
(minimumscore:0)atthisrank^youarejuststartingout^andhavenosignificantaccomplishments*,(Minimum Score: 0)在这个级别 你才刚刚开始 没有什么重大成就.
(employer){0}{1}{2}reputation,• (EMPLOYER) {0}{1} {2} 声望
(currentfactionreputation={0}),(当前派系声望 = {0})
(class:{0}),( Class: {0} )
(bkt_allyunit-onearrived)analliedunithasreacheditsdestination!makesurethattherestgettheresafelyaswell!,(Bkt_AllyUnit-OneArrived)一个友军单位已经到达目的地! 请保障剩下的单位安全到达!
(target){0}{1}{2}reputation,• (TARGET) {0}{1} {2} 声望
(required),(需要)
(minimumscore:80^000)youveworkedtheperipheryasamercenaryforhire*,(Minimum Score: 80000)你已经作为雇佣兵为外围效力.
[[company*cursystem*getlastpilotaddedtohiring^{company*cursystem*getlastpilotaddedtohiringname}isnowpresentinthelocalhiringhall,[[COMPANY.CurSystem.GetLastPilotAddedToHiring{COMPANY.CurSystem.GetLastPilotAddedToHiringName}]]现在出现在了当地的职业介绍所
{0}-storingthismechwillcanceltheactivemaintenancetask*areyousureyouwanttostopthistask?youwillberefunded{1},{0}- 把这部机甲存进仓库会取消目前的维护任务. 你确定要停止这项任务吗? 会退还给你<color=#DE6729>{1}</color>星币
{0}turret,{0}炮台
{0}sironmancareer,{0}的铁人模式生涯
{0}mechwasdestroyed,• {0}机甲被摧毁
{0}joined,{0}已加入
{0}itemsreceived,收到{0}物品
{0}heat,{0}热量
{0}gained{1}experience,• {0}得到{1}点经验
{0}daysuntilalliancecanbemadeafterbroken,解除同盟后距离可以结盟还有{0}天
{0}damaged,{0}受损
{0}injured,{0}受伤
{0}hasreturnedtoduty,{0}归队
{0}hasdied,{0}已死亡
{0}hasbeendestroyedandcouldnotberecovered*,{0}已被摧毁 无法回收.
{0}destroyed,{0}被摧毁
{0}-{1}tons,{0} - {1}吨
{0}{1}c-bills,• {0}{1}星币
{0}:pilotinjured,{0}: 驾驶员受伤
